No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
261,Africa,GH,"Republic of Ghana",Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
262,Africa,GH,"Republic of Ghana",Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
263,Africa,GH,"Republic of Ghana",Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.
Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
264,Africa,GH,"Republic of Ghana","Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.
Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.
The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
265,Oceania(Australasia),AU,Australia,"kangaroo steak","Kangaroo meat is mostly produced in Australia from wild kangaroos and in 2010 was exported to over 55 countries worldwide. The kangaroo has been historically a staple source of protein for indigenous Australians. Kangaroo meat is high in protein and low in fat (about 2%). Kangaroo meat has a very high concentration of conjugated linoleic acid (CLA) when compared with other foods. CLA has been attributed with a wide range of health benefits including anti-carcinogenic and anti-diabetes properties, in addition to reducing obesity and atherosclerosis. While kangaroo meat has enjoyed popularity for its organic nature, little information has been available about its nutrition benefits besides articles dedicated to the value of CLA's. While basic nutritional data (total protein, fats etc.) are published worldwide, little research has been provided about the nature of the kangaroo protein and its composite amino acid profile. Of the 22 amino acids within protein, ten are vital to human and animal well-being because they can't be manufactured in the body. These are called 'essential amino acids' and the primary research on kangaroo muscle meat nutrition is from a seminal research paper by the primary Australian government science organisation CSIRO in 1970.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Kangaroo_with_thyme_at_restaurant_Memphis.jpg/375px-Kangaroo_with_thyme_at_restaurant_Memphis.jpg,,
266,Oceania(Australasia),AU,Australia,"Damper Bread","Damper is a traditional Australian soda bread, historically prepared by swagmen, drovers, stockmen and other travellers. It consists of a wheat-flour-based bread, traditionally baked in the coals of a campfire or in a camp oven. Damper is an iconic Australian dish. It is also made in camping situations in New Zealand, and has been for many decades. Damper was originally developed by stockmen who travelled in remote areas for long periods, with only basic rations of flour, sugar and tea, supplemented by whatever meat was available. The basic ingredients of damper were flour, water and sometimes milk. Baking soda could be used for leavening. Damper was normally cooked in the ashes of the campfire. The ashes were flattened, and the damper was cooked there for ten minutes. Following this, it was covered with ashes and cooked for another 20 to 30 minutes until it sounded hollow when tapped. Alternatively, damper was cooked in a greased camp oven. Damper was eaten with dried or cooked meat or golden syrup.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Damper_%28food%29.jpg/330px-Damper_%28food%29.jpg,,
267,Oceania(Australasia),AU,Australia,Vegemite,"Vegemite is a thick, dark brown Australian food spread made from leftover brewers' yeast extract with various vegetable and spice additives. It was developed by Cyril Callister in Melbourne, Victoria in 1922. The Vegemite brand was owned by Mondelez International (formerly Kraft Foods Inc.) until January 2017, when it was acquired by the Australian Bega Cheese group in a US$460,000,000 (equivalent to about $480,000,000 in 2019) agreement for full Australian ownership after Bega would buy most of Mondelez International's Australia and New Zealand grocery and cheese business. A spread for sandwiches, toast, crumpets and cracker biscuits as well as a filling for pastries, Vegemite is similar to British Marmite, New Zealand Marmite, Australian Promite, MightyMite, AussieMite, OzEmite, German Vitam-R, and Swiss Cenovis. Vegemite is salty, slightly bitter, malty, and rich in glutamates giving it an umami flavour similar to beef bouillon. It is vegan, kosher, and halal.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Vegemiteontoast_large.jpg/353px-Vegemiteontoast_large.jpg,,
268,Oceania(Melanesia),PG,"Papua New Guinea","Taro corm","The taro corm is a traditional staple crop for large parts of Papua New Guinea, with a domestic trade extending its consumption to areas where it is not traditionally grown. Taro from some regions has developed particularly good reputations with (for instance) Lae taro being highly prized. Among the Urapmin people of Papua New Guinea, taro (known in Urap as ima) is the main source of sustenance along with the sweet potato (Urap: wan). In fact, the word for "food" in Urap is a compound of these two words.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Peeled_taro_corms.jpg/220px-Peeled_taro_corms.jpg,,
269,Oceania(Melanesia),PG,"Papua New Guinea","saksak(sago pancake)","Sago is a common and essential part of Papua New Guinean cuisine, as the starch ingredient is included in several traditional dishes, such as pancakes and pudding. Sago is in the form of flour usually extracted from the palm tree. Kaukau, the Tok Pisin term for "sweet potato", is also a vital and important crop in the country. Other staples in the Papua New Guinean diet include karuka, cassava, breadfruit (ulu), and coconuts. Coconut cream is a delicacy often found in numerous local dishes of Papua New Guinea. Saksak are steamed dumplings composed of banana, ground sago, and sugar mixed and wrapped in a banana leaf, and are subsequently steamed.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sago_pancake_PNG.JPG/200px-Sago_pancake_PNG.JPG,,
270,Oceania(Melanesia),PG,"Papua New Guinea","coconut milk","Coconut milk is an opaque, milky-white liquid extracted from the grated pulp of mature coconuts. The opacity and rich taste of coconut milk is due to its high oil content, most of which is saturated fat. Coconut milk is a traditional food ingredient used in Southeast Asia, Oceania, South Asia, and East Africa. It is also used for cooking in the Caribbean, tropical Latin America, and West Africa, where coconuts were introduced during the colonial era.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Cononut_milk.JPG/250px-Cononut_milk.JPG,,
271,Oceania(Micronesia),GU,Guam,"Red rice","Red rice is a variety of rice that is colored red by its anthocyanin content. It is usually eaten unhulled or partially hulled, and has a red husk, rather than the more common brown. Red rice has a nutty flavor. Compared to polished
rice, it has the highest nutritional value of rices eaten with the germ intact.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Rice%2C_red-rice%2C_AIVANAM-like.JPG/330px-Rice%2C_red-rice%2C_AIVANAM-like.JPG,,
